anime_id,mean_rating,count
33255,8.425511197663097,1027
33352,8.619541484716157,1832
33486,8.356452726017944,2898
33487,6.796380090497737,1326
33506,7.439814814814815,1080
33674,8.282682512733446,1178
34134,7.383222691611346,1657
34240,8.111795774647888,1136
34280,6.967894239848914,1059
34577,7.830734966592428,1347
34599,8.714939896966229,1747
34618,7.341018251681076,1041
34902,7.6976744186046515,1247
34933,7.33216986620128,1719
35073,7.733974358974359,1560
35120,7.862637362637362,1274
35507,7.682249817384952,1369
35760,8.487585616438356,2336
35788,8.141234918381832,1409
35790,8.028535980148883,1612
35849,7.225845410628019,1656
35968,7.948075201432408,1117
36456,8.258234519104084,2277
36474,7.5251491901108265,1173
36511,6.540983606557377,1159
36949,8.047397769516728,1076
37349,7.528799444829979,1441
37430,8.07509025270758,1385
37450,8.264467592592593,1728
37510,8.801033591731267,1548
37520,8.208450704225353,1065
37521,8.683918669131238,1082
37675,7.8966639544345,1229
37779,8.57192118226601,2030
37999,8.368391764051196,1797
38000,8.579598804950917,2343
38408,8.044912280701755,1425
38524,8.981290004923682,2031
38691,8.272612270714738,1581
39587,8.444746376811594,1104
40221,7.570200573065903,1047
40591,8.72653721682848,1236
